"ABDALA DE MATARAZZO, NORMA AMANDA","SANTIAGO DEL ESTERO","FRENTE CIVICO POR SANTIAGO","http://www4.hcdn.gov.ar/fotos/nabdaladem_small.jpg"
"AGUAD, OSCAR RAUL","CORDOBA","UCR","http://www4.hcdn.gov.ar/fotos/oaguad_small.jpg"
"AGUILAR, LINO WALTER","SAN LUIS","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/laguilar_small.jpg"
"ALBARRACIN, JORGE LUIS","MENDOZA","UCR","http://www4.hcdn.gov.ar/fotos/jalbarracin_small.jpg"
"ALBRIEU, OSCAR EDMUNDO NICOLAS","RIO NEGRO","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/oalbrieu_small.jpg"
"ALFONSIN, RICARDO LUIS","BUENOS AIRES","UCR","http://www4.hcdn.gov.ar/fotos/ralfonsin_small.jpg"
"ALONSO, GUMERSINDO FEDERICO","CORDOBA","FRENTE CIVICO - CORDOBA","http://www4.hcdn.gov.ar/fotos/galonso_small.jpg"
"ALONSO, LAURA","CIUDAD de BUENOS AIRES","PRO","http://www4.hcdn.gov.ar/fotos/lalonso_small.jpg"
"ALONSO, MARIA LUZ","LA PAMPA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/malonso_small.jpg"
"ALVAREZ, ELSA MARIA","SANTA CRUZ","UCR","http://www4.hcdn.gov.ar/fotos/ealvarez_small.jpg"
"ALVAREZ, JORGE MARIO","SANTA FE","UCR","http://www4.hcdn.gov.ar/fotos/jmalvarez_small.jpg"
"AMADEO, EDUARDO PABLO","BUENOS AIRES","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/eamadeo_small.jpg"
"ARENA, CELIA ISABEL","SANTA FE","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/carena_small.jpg"
"ARGUMEDO, ALCIRA SUSANA","CIUDAD de BUENOS AIRES","MOVIMIENTO PROYECTO SUR","http://www4.hcdn.gov.ar/fotos/aargumedo_small.jpg"
"ARREGUI, ANDRES ROBERTO","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/aarregui_small.jpg"
"ASPIAZU, LUCIO BERNARDO","CORRIENTES","UCR","http://www4.hcdn.gov.ar/fotos/laspiazu_small.jpg"
"ASSEFF, ALBERTO EMILIO","BUENOS AIRES","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/aasseff_small.jpg"
"ATANASOF, ALFREDO NESTOR","BUENOS AIRES","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/aatanasof_small.jpg"
"AVOSCAN, HERMAN HORACIO","RIO NEGRO","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/havoscan_small.jpg"
"BALCEDO, MARIA ESTER","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mbalcedo_small.jpg"
"BARBIERI, MARIO LEANDRO","BUENOS AIRES","UCR","http://www4.hcdn.gov.ar/fotos/mbarbieri_small.jpg"
"BARCHETTA, OMAR SEGUNDO","SANTA FE","PARTIDO SOCIALISTA","http://www4.hcdn.gov.ar/fotos/obarchetta_small.jpg"
"BARRANDEGUY, RAUL ENRIQUE","ENTRE RIOS","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/rbarrandeguy_small.jpg"
"BASTERRA, LUIS EUGENIO","FORMOSA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/lbasterra_small.jpg"
"BAZZE, MIGUEL ANGEL","BUENOS AIRES","UCR","http://www4.hcdn.gov.ar/fotos/mbazze_small.jpg"
"BEDANO, NORA ESTHER","CORDOBA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/nbedano_small.jpg"
"BENEDETTI, ATILIO FRANCISCO SALVADOR","ENTRE RIOS","UCR","http://www4.hcdn.gov.ar/fotos/abenedetti_small.jpg"
"BERNAL, MARIA EUGENIA","JUJUY","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mbernal_small.jpg"
"BERTOL, PAULA MARIA","CIUDAD de BUENOS AIRES","PRO","http://www4.hcdn.gov.ar/fotos/pbertol_small.jpg"
"BERTONE, ROSANA ANDREA","TIERRA DEL FUEGO","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/rbertone_small.jpg"
"BIANCHI, IVANA MARIA","SAN LUIS","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/ibianchi_small.jpg"
"BIANCHI, MARIA DEL CARMEN","CIUDAD de BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mbianchi_small.jpg"
"BIDEGAIN, GLORIA","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/gbidegain_small.jpg"
"BIELLA CALVET, BERNARDO JOSE","SALTA","UDESO SALTA","http://www4.hcdn.gov.ar/fotos/bbiellac_small.jpg"
"BLANCO DE PERALTA, BLANCA","SANTA CRUZ","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/bblanco_small.jpg"
"BRAWER, MARA","CIUDAD de BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mbrawer_small.jpg"
"BRILLO, JOSE RICARDO","NEUQUEN","MOV POP NEUQUINO","http://www4.hcdn.gov.ar/fotos/jbrillo_small.jpg"
"BRIZUELA Y DORIA DE CARA, OLGA INES","LA RIOJA","UCR","http://www4.hcdn.gov.ar/fotos/obrizueladc_small.jpg"
"BROMBERG, ISAAC BENJAMIN","TUCUMAN","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/ibromberg_small.jpg"
"BROWN, CARLOS RAMON","BUENOS AIRES","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/cbrown_small.jpg"
"BRUE, DANIEL AGUSTIN","SANTIAGO DEL ESTERO","FRENTE CIVICO POR SANTIAGO","http://www4.hcdn.gov.ar/fotos/dbrue_small.jpg"
"BULLRICH, PATRICIA","CIUDAD de BUENOS AIRES","UNION POR TODOS","http://www4.hcdn.gov.ar/fotos/pbullrich_small.jpg"
"BURYAILE, RICARDO","FORMOSA","UCR","http://www4.hcdn.gov.ar/fotos/rburyaile_small.jpg"
"CALCAGNO, ERIC","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/ecalcagno_small.jpg"
"CAMAÑO, GRACIELA","BUENOS AIRES","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/gcamano_small.jpg"
"CARDELLI, JORGE JUSTO","CIUDAD de BUENOS AIRES","MOVIMIENTO PROYECTO SUR","http://www4.hcdn.gov.ar/fotos/jcardelli_small.jpg"
"CARLOTTO, REMO GERARDO","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/rcarlotto_small.jpg"
"CARMONA, GUILLERMO RAMON","MENDOZA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/gcarmona_small.jpg"
"CARRANZA, CARLOS ALBERTO","SANTA FE","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/ccarranza_small.jpg"
"CARRILLO, MARIA DEL CARMEN","TUCUMAN","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mcarrillo_small.jpg"
"CARRIO, ELISA MARIA AVELINA","CIUDAD de BUENOS AIRES","COALICION CIVICA - ARI","http://www4.hcdn.gov.ar/fotos/ecarrio_small.jpg"
"CASAÑAS, JUAN FRANCISCO","TUCUMAN","UCR","http://www4.hcdn.gov.ar/fotos/jcasanas_small.jpg"
"CASELLES, GRACIELA MARIA","SAN JUAN","FRENTE PARA LA VICTORIA - PARTIDO BLOQUISTA","http://www4.hcdn.gov.ar/fotos/gcaselles_small.jpg"
"CASTAÑON, HUGO","RIO NEGRO","UCR","http://www4.hcdn.gov.ar/fotos/hcastanon_small.jpg"
"CATALAN MAGNI, JULIO CESAR","TIERRA DEL FUEGO","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jcatalanm_small.jpg"
"CEJAS, JORGE ALBERTO","RIO NEGRO","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jcejas_small.jpg"
"CHEMES, JORGE OMAR","ENTRE RIOS","UCR","http://www4.hcdn.gov.ar/fotos/jchemes_small.jpg"
"CHIENO, MARIA ELENA PETRONA","CORRIENTES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mchieno_small.jpg"
"CIAMPINI, JOSE ALBERTO","NEUQUEN","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/aciampini_small.jpg"
"CICILIANI, ALICIA MABEL","SANTA FE","PARTIDO SOCIALISTA","http://www4.hcdn.gov.ar/fotos/aciciliani_small.jpg"
"CIGOGNA, LUIS FRANCISCO JORGE","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/lcigogna_small.jpg"
"CLERI, MARCOS","SANTA FE","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mcleri_small.jpg"
"COMELLI, ALICIA MARCELA","NEUQUEN","MOV POP NEUQUINO","http://www4.hcdn.gov.ar/fotos/acomelli_small.jpg"
"COMI, CARLOS MARCELO","SANTA FE","COALICION CIVICA - ARI","http://www4.hcdn.gov.ar/fotos/ccomi_small.jpg"
"CONTI, DIANA BEATRIZ","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/dconti_small.jpg"
"CONTRERA, MONICA GRACIELA","CHUBUT","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mcontrera_small.jpg"
"CORDOBA, STELLA MARIS","TUCUMAN","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/scordoba_small.jpg"
"CORTINA, ROY","CIUDAD de BUENOS AIRES","PARTIDO SOCIALISTA","http://www4.hcdn.gov.ar/fotos/rcortina_small.jpg"
"COSTA, EDUARDO RAUL","SANTA CRUZ","UCR","http://www4.hcdn.gov.ar/fotos/ecosta_small.jpg"
"CREMER DE BUSTI, MARIA CRISTINA","ENTRE RIOS","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/mcremer_small.jpg"
"CUCCOVILLO, RICARDO OSCAR","BUENOS AIRES","PARTIDO SOCIALISTA","http://www4.hcdn.gov.ar/fotos/rcuccovillo_small.jpg"
"CURRILEN, OSCAR RUBEN","CHUBUT","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/ocurrilen_small.jpg"
"DATO, ALFREDO CARLOS","TUCUMAN","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/adato_small.jpg"
"DE FERRARI RUEDA, PATRICIA","CORDOBA","UCR","http://www4.hcdn.gov.ar/fotos/pdeferrarir_small.jpg"
"DE GENNARO, VICTOR NORBERTO","BUENOS AIRES","UNIDAD POPULAR","http://www4.hcdn.gov.ar/fotos/vdegennaro_small.jpg"
"DE MARCHI, OMAR BRUNO","MENDOZA","DEMOCRATA DE MENDOZA","http://www4.hcdn.gov.ar/fotos/odemarchi_small.jpg"
"DE NARVAEZ, FRANCISCO","BUENOS AIRES","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/fdenarvaez_small.jpg"
"DE PEDRO, EDUARDO ENRIQUE","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/edepedro_small.jpg"
"PRAT-GAY, ALFONSO","CIUDAD de BUENOS AIRES","COALICION CIVICA - ARI","http://www4.hcdn.gov.ar/fotos/apratgay_small.jpg"
"PRAT GAY, ALFONSO","CIUDAD de BUENOS AIRES","COALICION CIVICA - ARI","http://www4.hcdn.gov.ar/fotos/apratgay_small.jpg"
"DE PETRI, EDGARDO FERNANDO","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/edepetri_small.jpg"
"DI TULLIO, JULIANA","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jditullio_small.jpg"
"DIAZ BANCALARI, JOSE MARIA","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jdiaz_small.jpg"
"DIAZ ROIG, JUAN CARLOS","FORMOSA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jdiazr_small.jpg"
"DOMINGUEZ, JULIAN ANDRES","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jdominguez_small.jpg"
"DONDA PEREZ, VICTORIA ANALIA","BUENOS AIRES","LIBRES DEL SUR","http://www4.hcdn.gov.ar/fotos/vdondap_small.jpg"
"DONKIN, CARLOS GUILLERMO","FORMOSA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/cdonkin_small.jpg"
"DUCLOS, OMAR ARNALDO","BUENOS AIRES","GEN","http://www4.hcdn.gov.ar/fotos/oduclos_small.jpg"
